,basket
9079,"hamburger meat,whole milk,butter milk,yogurt,margarine,baking powder"
2295,"butter,sliced cheese,misc. beverages,fruit/vegetable juice"
3599,"sausage,beverages,soda"
5904,"tropical fruit,root vegetables,other vegetables,curd,yogurt,whipped/sour cream,cream cheese ,margarine,bottled water,newspapers"
9263,"other vegetables,whole milk"
7178,"frankfurter,beef,berries,processed cheese,frozen meals,frozen potato products,rolls/buns,ready soups,bottled water,soda,fruit/vegetable juice,red/blush wine,long life bakery product,specialty bar"
244,"frankfurter,beef,hamburger meat,grapes,root vegetables,whole milk,butter,frozen dessert,potato products,bottled water,bottled beer"
3647,"fish,liquor"
1918,"whole milk,curd,yogurt,frozen vegetables,margarine,ketchup,cereals,canned fish,soda,cling film/bags"
3339,"tropical fruit,whole milk,ice cream"
1932,"sausage,ham,meat,pork,tropical fruit,pip fruit,grapes,other vegetables,whole milk,butter,whipped/sour cream,frozen meals,frozen fish,ice cream,domestic eggs,pastry,soda,syrup,detergent"
4221,"berries,root vegetables,other vegetables,butter milk,yogurt,mayonnaise,zwieback,shopping bags"
1096,pork
7082,"pip fruit,whole milk,butter,cream cheese ,bottled water,newspapers"
390,coffee
2103,"sausage,rolls/buns,soda"
2152,cream cheese 
3603,"ham,tropical fruit,pip fruit,root vegetables,domestic eggs,napkins,newspapers"
5,"whole milk,butter,yogurt,rice,abrasive cleaner"
2308,"citrus fruit,flour,pasta,margarine,sugar,baking powder,soda"
472,"pork,onions,whole milk,butter,rolls/buns,pastry,rum,hygiene articles"
7942,"pastry,soda,specialty bar"
5358,"other vegetables,whole milk,salty snack"
4630,newspapers
5054,soda
1904,"pork,tropical fruit,whole milk,rolls/buns,margarine"
8667,"pork,berries,whole milk,frozen meals,white bread,brown bread,margarine,long life bakery product,napkins"
1921,"ham,beef,tropical fruit,pip fruit,other vegetables,whole milk,dessert,yogurt,whipped/sour cream,soft cheese,frozen potato products,rolls/buns,soda,long life bakery product,chocolate"
4603,"citrus fruit,pip fruit,pickled vegetables,bottled water,newspapers"
5915,"berries,other vegetables,yogurt,margarine,mustard,fruit/vegetable juice,detergent"
5375,citrus fruit
5642,"whole milk,butter milk"
404,"tropical fruit,other vegetables"
6485,misc. beverages
6468,"whole milk,whipped/sour cream,pot plants"
5750,"sausage,butter"
5330,"chicken,pip fruit,whole milk,dessert,margarine,soda,canned beer,liquor,newspapers"
4103,"whole milk,semi-finished bread"
8127,white wine
7610,"whole milk,curd,yogurt,artif. sweetener,rum,hygiene articles,napkins,photo/film"
5244,"root vegetables,other vegetables,white bread,baking powder"
4485,bottled beer
6086,tropical fruit
8034,"frankfurter,UHT-milk,hard cheese,spread cheese,brown bread,pastry,bottled water,seasonal products,shopping bags"
4501,soda
1493,spices
5559,"pork,domestic eggs,soda"
768,"pork,root vegetables,whole milk,whipped/sour cream"
4132,"whole milk,cream cheese ,salty snack"
3414,"whole milk,dessert,yogurt,whipped/sour cream,specialty cheese,kitchen towels"
4257,"root vegetables,other vegetables,mayonnaise,soda,chocolate,specialty chocolate"
2177,"ham,onions,other vegetables,brown bread,margarine"
6391,"sausage,other vegetables,butter,pastry,soda,dishes"
7515,"berries,other vegetables,yogurt,frozen fish,oil,margarine,salty snack"
3638,shopping bags
3543,"root vegetables,whole milk"
1522,"citrus fruit,whole milk,domestic eggs,canned fruit,dog food,misc. beverages,detergent"
3618,"sausage,cream cheese ,mayonnaise,rolls/buns,margarine,soda"
65,whole milk
9366,"meat,other vegetables"
5846,"tropical fruit,pip fruit,berries,ice cream,white bread"
7518,"sausage,whole milk,yogurt,UHT-milk,rolls/buns"
852,"sausage,pork,other vegetables,frozen fish,rolls/buns,semi-finished bread,artif. sweetener,ready soups,bottled water,hygiene articles,newspapers"
7315,"grapes,root vegetables,onions,whipped/sour cream,rolls/buns,mustard,coffee,bottled water,soda,fruit/vegetable juice,chocolate,shopping bags"
6544,coffee
3167,"ham,citrus fruit,tropical fruit,pip fruit,herbs,other vegetables,whole milk,yogurt,spread cheese,brown bread,dog food,fruit/vegetable juice"
409,canned beer
7893,"beef,sugar,canned beer"
8845,candy
876,"sugar,hygiene articles"
2372,"sausage,pork,berries,other vegetables,whole milk,rolls/buns,brown bread,roll products ,margarine,sweet spreads,softener"
1976,"citrus fruit,pip fruit,curd,artif. sweetener,dog food,coffee"
1246,"citrus fruit,grapes,rolls/buns,pastry,coffee,soda"
4748,soda
243,"sausage,oil,hygiene articles,napkins"
9322,"UHT-milk,soda"
8206,pastry
2371,whole milk
7320,"finished products,beef,frozen meals,rolls/buns,soda"
2871,"pip fruit,yogurt"
9372,"whole milk,newspapers"
3572,"UHT-milk,artif. sweetener,bottled water"
9284,"liver loaf,root vegetables,salty snack,cake bar,specialty chocolate"
4568,"tropical fruit,whole milk,yogurt,whipped/sour cream,rolls/buns,cocoa drinks,bottled water,bottled beer,specialty chocolate"
4665,"pork,citrus fruit,pip fruit,other vegetables,whole milk,pudding powder"
335,"sausage,meat,hamburger meat,rubbing alcohol"
6657,"tropical fruit,condensed milk,dog food,bottled water,fruit/vegetable juice,specialty chocolate"
1954,"canned beer,specialty chocolate"
1464,yogurt
3530,"bottled water,fruit/vegetable juice,canned beer"
7425,"sausage,citrus fruit,butter,yogurt,brown bread,margarine,fruit/vegetable juice,hygiene articles,newspapers"
9095,"citrus fruit,onions,other vegetables,yogurt,beverages,rolls/buns,brown bread,vinegar,bottled water,long life bakery product"
950,"other vegetables,chewing gum"
4202,soda
6064,bottled beer
4258,tropical fruit
8379,"pork,hamburger meat,other vegetables,brown bread,Instant food products"
7938,"UHT-milk,bottled water,fruit/vegetable juice,canned beer"
6039,"frankfurter,soft cheese,rolls/buns,canned beer"
859,"chicken,pork,other vegetables,whole milk,whipped/sour cream,UHT-milk,domestic eggs,rolls/buns,bottled water,soda,fruit/vegetable juice,bottled beer"
8221,"sausage,rolls/buns,margarine"
8330,beverages
4179,"frankfurter,meat,pork,beef,hamburger meat,citrus fruit,root vegetables,other vegetables,whole milk,domestic eggs,brown bread,cat food"
7444,"turkey,pip fruit,root vegetables,yogurt,cream cheese ,flour,sugar,napkins,newspapers"
1057,"pork,ice cream,soda,cake bar"
6966,pip fruit
269,root vegetables
8550,"coffee,soda,chocolate marshmallow"
4424,"citrus fruit,baking powder,sweet spreads,nut snack"
7899,"domestic eggs,rolls/buns,coffee,canned beer,brandy,chocolate,shopping bags"
4009,"beef,pip fruit,onions,whole milk,margarine,specialty fat,soda,fruit/vegetable juice,napkins"
1793,"tropical fruit,grapes,whole milk,canned fish,bottled water,fruit/vegetable juice"
7031,"tropical fruit,pip fruit,other vegetables,curd,beverages,pastry,soda,waffles"
1647,"rolls/buns,margarine,newspapers"
6498,"pork,butter,soda,hygiene articles"
28,other vegetables
2906,"margarine,coffee,instant coffee,soda,canned beer"
7189,"berries,other vegetables,yogurt,spread cheese,rolls/buns"
514,soda
4430,"frankfurter,sausage,liver loaf,beef,tropical fruit,pip fruit,root vegetables,onions,whole milk,butter,yogurt,whipped/sour cream,sliced cheese,cream cheese ,frozen meals,frozen potato products,domestic eggs,rolls/buns,roll products ,salt,rice,margarine,jam,coffee,long life bakery product,waffles,hygiene articles"
1574,"yogurt,chocolate"
2246,"frankfurter,chicken,brown bread,oil"
9043,"hamburger meat,citrus fruit,tropical fruit,other vegetables,whipped/sour cream,beverages,white bread,hygiene articles,napkins"
6859,"sliced cheese,hard cheese,coffee,soda,bottled beer,chewing gum,hygiene articles"
6046,"citrus fruit,pip fruit,white bread,brown bread,pastry,waffles"
2822,bags
9733,"coffee,photo/film"
6456,"beverages,cream cheese ,rolls/buns"
6994,"tropical fruit,pip fruit,whole milk,hard cheese,frozen meals,white bread,zwieback,sparkling wine,softener,hygiene articles,newspapers"
1401,"finished products,beef,tropical fruit,spread cheese,rolls/buns,waffles,chocolate,specialty chocolate,hair spray,shopping bags"
2889,curd
6188,"yogurt,specialty bar"
8594,canned beer
3424,"tidbits,canned beer,red/blush wine"
6929,"meat,hamburger meat,brown bread"
8584,"meat,turkey,hamburger meat,citrus fruit,root vegetables,herbs,other vegetables,whole milk,curd,yogurt,rolls/buns,pastry,rice,baking powder"
5147,yogurt
5466,"whole milk,yogurt"
6033,"berries,yogurt,misc. beverages,canned beer,liquor,cake bar"
5303,bottled beer
6656,"UHT-milk,canned beer"
5928,"liver loaf,dessert,domestic eggs,soda,cleaner,shopping bags"
683,"chicken,beef,specialty chocolate"
1774,"pip fruit,other vegetables,butter milk,frozen vegetables,brown bread,soups,sauces,fruit/vegetable juice,long life bakery product,cling film/bags"
2135,"other vegetables,whole milk,rolls/buns,vinegar,margarine,soda,waffles"
2790,misc. beverages
8589,"whole milk,baking powder,bottled water,newspapers"
6815,"rolls/buns,roll products ,cat food,shopping bags"
7972,"root vegetables,canned beer,candles,shopping bags"
5314,"curd,cream cheese ,frozen fruits,margarine,cocoa drinks,soda"
3191,bottled water
6400,ice cream
5958,zwieback
5479,canned beer
7025,"tropical fruit,whole milk,yogurt,pastry,soda,misc. beverages"
6755,"pip fruit,root vegetables,herbs,whole milk,curd,yogurt,canned fish,pot plants"
8865,"frankfurter,ham,chicken,pork,root vegetables,other vegetables,dessert,cream cheese ,rolls/buns,cat food,bottled water,shopping bags"
7524,"tropical fruit,butter,bottled water,male cosmetics,newspapers"
496,"pet care,bottled beer"
453,"sausage,other vegetables,curd,yogurt,whipped/sour cream,frozen vegetables,rolls/buns,roll products "
5308,"whole milk,brown bread"
7330,tropical fruit
4182,"sausage,citrus fruit,root vegetables,other vegetables,whole milk,rolls/buns,brown bread,cat food,bottled water"
8366,"tropical fruit,berries,whipped/sour cream"
1341,"beverages,bottled water,misc. beverages"
194,soda
2901,"berries,salt,organic products,cat food,soda,bottled beer,female sanitary products"
1108,"tropical fruit,pip fruit,other vegetables,cream cheese ,soda,bottled beer"
5693,"other vegetables,cream cheese ,margarine,canned vegetables,bottled beer"
9609,"frozen meals,canned beer,candy"
1678,"cream cheese ,soda"
3712,"misc. beverages,fruit/vegetable juice"
9056,"citrus fruit,beverages,domestic eggs,rolls/buns,bottled water,chewing gum,chocolate marshmallow"
9048,"tropical fruit,root vegetables,other vegetables,whole milk,processed cheese"
1422,"meat,hamburger meat,spices,coffee"
5007,bottled beer
7784,"meat,rolls/buns,soda,bottled beer"
7644,"pork,packaged fruit/vegetables,ice cream,oil,detergent"
4232,"pork,citrus fruit,other vegetables,dessert,white bread,kitchen towels,candles,newspapers"
4369,"root vegetables,onions,other vegetables"
4747,red/blush wine
8531,"other vegetables,sliced cheese,hard cheese,rolls/buns,pastry"
4218,"chicken,citrus fruit,onions,other vegetables,whole milk,frozen fish,roll products ,flour,sugar,pickled vegetables"
1470,"whipped/sour cream,salty snack"
7811,"sausage,pork,beef,pip fruit,grapes,other vegetables,whole milk,butter,curd,yogurt,pastry,bottled water,hygiene articles,napkins"
2718,"dessert,beverages,ice cream,soda"
3532,"root vegetables,whipped/sour cream,frozen vegetables,domestic eggs,rolls/buns"
6993,"onions,white bread,hygiene articles"
685,"whole milk,frozen meals,rolls/buns"
4499,"herbs,whole milk,pastry"
4077,"butter milk,pastry"
1486,"meat,other vegetables,rolls/buns,fruit/vegetable juice,cling film/bags"
2735,"rolls/buns,canned fruit"
4598,"frankfurter,curd,frozen potato products,soda,dish cleaner"
4177,fruit/vegetable juice
4082,"tropical fruit,pip fruit,coffee,soda,fruit/vegetable juice,salty snack"
6443,"pork,tropical fruit,waffles,newspapers"
2360,frozen vegetables
2379,"frankfurter,butter,rolls/buns,semi-finished bread,misc. beverages,shopping bags"
5943,"beverages,specialty bar"
6405,chocolate
6388,"brown bread,bottled beer"
1546,"processed cheese,red/blush wine,newspapers"
7362,"sausage,beverages,brown bread,pastry"
3209,"other vegetables,salty snack,dishes,house keeping products"
2690,"root vegetables,other vegetables,photo/film"
7729,"tropical fruit,whole milk,salty snack,kitchen towels"
5891,"citrus fruit,other vegetables,packaged fruit/vegetables,yogurt,margarine,sugar,artif. sweetener,baking powder,candles"
104,soda
4992,"yogurt,rolls/buns"
2568,bottled beer
1419,"whole milk,soda"
6814,"pork,bottled beer,salty snack,detergent,napkins"
4397,"yogurt,rolls/buns,brown bread,salty snack,pot plants"
3696,"bottled beer,liquor,red/blush wine"
1824,"tropical fruit,yogurt,processed cheese,rolls/buns,bottled water,soda,misc. beverages,female sanitary products"
5412,"ham,turkey,frozen vegetables,pastry"
2062,"onions,dessert,yogurt,domestic eggs,rolls/buns,brown bread,pastry,cat food,bottled water,soda,fruit/vegetable juice,long life bakery product,chocolate,female sanitary products,napkins"
4914,whole milk
2594,"tropical fruit,whole milk"
4240,"sausage,citrus fruit,canned fish,waffles"
731,"meat,beef,other vegetables,whole milk,butter,domestic eggs,rolls/buns"
5991,"pork,specialty vegetables,bottled water,soda,bottled beer"
9210,"chicken,coffee"
2586,"finished products,soda,specialty chocolate"
8577,dish cleaner
8373,"sausage,bottled beer,liquor"
1279,"frankfurter,root vegetables,rolls/buns,pastry,mustard,bottled beer,shopping bags"
2168,"sausage,beef,other vegetables,frozen fish,domestic eggs,roll products ,margarine,sugar,baking powder,coffee,kitchen towels,shopping bags"
5127,"meat,citrus fruit,tropical fruit,root vegetables,other vegetables,whole milk,butter,yogurt,sliced cheese,frozen vegetables,rice,Instant food products,baking powder,bottled water,syrup,female sanitary products,photo/film"
9544,frozen vegetables
9682,"sausage,root vegetables,dessert,pastry,flour,sugar,soda,cake bar"
1475,"soda,fruit/vegetable juice"
7218,"grapes,other vegetables,frozen dessert"
7453,"UHT-milk,soda"
5742,"chicken,hamburger meat,other vegetables,frozen vegetables,rolls/buns,pastry"
5055,"pastry,semi-finished bread,coffee,bottled water,misc. beverages"
7358,"rolls/buns,margarine,canned fish"
6537,"chicken,frozen vegetables,frozen dessert,bottled water,soda"
3171,"yogurt,frozen vegetables,napkins,newspapers,pot plants"
501,"whole milk,dessert,bottled water"
1056,"frankfurter,ham,chicken,whole milk,butter,processed cheese,frozen vegetables,white bread,pastry,soda,fruit/vegetable juice,red/blush wine,chocolate,pot plants"
3828,"meat,rolls/buns,pastry"
9169,"pork,beef,berries,root vegetables,herbs,butter,yogurt,white bread,brown bread,bottled water,misc. beverages,bottled beer,liquor,hygiene articles"
3080,chocolate
258,"sausage,citrus fruit,tropical fruit,other vegetables,whole milk,yogurt,rolls/buns,bottled water,soda,chocolate,newspapers"
2119,"rolls/buns,white bread,dish cleaner,shopping bags"
825,"citrus fruit,herbs,whole milk,bottled water,bottled beer,pot plants"
1833,"soda,canned beer"
74,frozen potato products
8803,"chicken,beef,flour,salty snack"
3957,"pip fruit,pasta,oil,shopping bags"
2375,bottled water
5073,"whole milk,bottled beer"
3994,shopping bags
9197,"pastry,oil,margarine"
8529,"tropical fruit,whole milk,chocolate,newspapers"
8189,"sausage,ham,curd,soda,cake bar,shopping bags"
7340,female sanitary products
5289,"pork,processed cheese,canned beer"
9485,"root vegetables,whole milk,white bread,soda,waffles,specialty bar,hygiene articles"
3967,"sausage,curd,yogurt,cream cheese ,brown bread,pastry,coffee,seasonal products,napkins"
5899,"frankfurter,sausage,tropical fruit,whole milk,yogurt,whipped/sour cream,white bread,flour,oil,soda,hygiene articles"
6403,"pastry,canned fish,salty snack,waffles"
6572,"tropical fruit,pip fruit,whole milk"
5667,"hamburger meat,root vegetables,other vegetables,whole milk,sliced cheese"
8323,"tropical fruit,whole milk,yogurt"
7407,"other vegetables,whole milk,coffee,soda,canned beer"
8879,specialty chocolate
9713,"bottled beer,seasonal products"
9444,"root vegetables,butter milk,specialty cheese,specialty bar"
8566,"whole milk,soft cheese,rolls/buns,prosecco,napkins,pot plants"
6411,photo/film
3889,canned beer
8739,"rolls/buns,fruit/vegetable juice,specialty chocolate,newspapers"
5825,"domestic eggs,pastry"
9385,napkins
4833,"tropical fruit,pip fruit,whole milk,pastry"
4656,"pip fruit,beverages,pastry,hygiene articles"
5376,canned beer
6261,"whole milk,domestic eggs,bottled water,soda,shopping bags"
9533,"whole milk,condensed milk,ice cream,coffee,napkins,kitchen towels,shopping bags"
9242,"pastry,chocolate,specialty bar,candy,seasonal products"
1850,"pip fruit,yogurt,ice cream,soda"
6437,"rolls/buns,pasta,bottled beer"
9809,"beef,root vegetables,other vegetables,frozen vegetables,frozen dessert,domestic eggs"
8593,"citrus fruit,curd,sliced cheese,bottled water,napkins"
8635,"condensed milk,coffee"
1202,coffee
1498,canned beer
7406,"frozen meals,frozen potato products,coffee"
4269,"whole milk,pastry,newspapers"
9704,"other vegetables,rolls/buns"
5327,"frankfurter,mayonnaise,margarine,mustard,ketchup,seasonal products"
1990,"pork,pip fruit,other vegetables,whole milk,yogurt,ketchup,pickled vegetables,soda,detergent"
8448,"beef,root vegetables,curd,dessert,waffles,dish cleaner"
6163,"citrus fruit,yogurt,canned fruit"
4555,"ham,other vegetables,whole milk,domestic eggs,sweet spreads,misc. beverages,salty snack,hygiene articles,shopping bags"
6584,"curd,whipped/sour cream,cream cheese ,margarine,long life bakery product"
6747,"other vegetables,butter,sliced cheese,cream cheese ,rolls/buns,margarine,soda,misc. beverages"
4400,"UHT-milk,rolls/buns"
6182,bottled beer
1903,"whole milk,margarine,pot plants"
3216,"whole milk,curd,semi-finished bread,baking powder,soda"
4383,"soda,cling film/bags,house keeping products"
3367,"sausage,beef,tropical fruit,onions,frozen vegetables,domestic eggs,white bread,semi-finished bread,sugar,baking powder,canned fish,coffee,seasonal products"
4785,canned beer
3990,margarine
7458,"pip fruit,pastry"
317,photo/film
8110,"citrus fruit,butter milk,white bread,canned fish,bottled water,sparkling wine,male cosmetics"
2363,"pork,hamburger meat"
2796,"pastry,soda"
2430,"herbs,whole milk"
3779,"sausage,salty snack,seasonal products"
7053,rolls/buns
9037,"frozen vegetables,pasta,bottled water,soda"
3573,canned beer
8438,berries
1900,margarine
5901,"tropical fruit,grapes,other vegetables,curd,beverages,pastry,nut snack"
8650,"chicken,citrus fruit,root vegetables"
9788,"frankfurter,beef,herbs,whole milk,rolls/buns"
3307,"meat,root vegetables,whole milk,yogurt,whipped/sour cream,domestic eggs,seasonal products,shopping bags"
6585,whipped/sour cream
4848,"whole milk,butter milk,yogurt,rolls/buns,white bread,mustard,pickled vegetables,sweet spreads,canned fish,soda,misc. beverages,long life bakery product,specialty chocolate,shopping bags"
2842,"ham,tropical fruit,pip fruit,grapes,berries,other vegetables,curd,dessert,yogurt,rolls/buns,margarine,honey,specialty chocolate,detergent,napkins,cling film/bags"
6278,"butter milk,salt,vinegar,cat food"
7669,"pip fruit,yogurt,brown bread"
2291,"sausage,other vegetables,dessert,canned vegetables"
3234,"bottled water,bottled beer"
3817,"root vegetables,other vegetables"
962,"other vegetables,whole milk,yogurt"
8999,"tropical fruit,yogurt,soda"
1779,"citrus fruit,tropical fruit,pip fruit,other vegetables"
8258,"citrus fruit,yogurt,newspapers"
9296,brown bread
5751,"sausage,tropical fruit,root vegetables,other vegetables,whole milk,frozen vegetables,domestic eggs,flour,margarine,sugar,ketchup,baking powder,canned vegetables,bottled water,cooking chocolate,newspapers"
2846,"pip fruit,zwieback,salty snack,cake bar,specialty bar"
5905,canned beer
2738,"whole milk,brown bread,pastry"
8987,shopping bags
8760,"mayonnaise,tidbits,rolls/buns,bottled water,soda,cake bar"
8768,"whole milk,curd,hard cheese,bottled water"
5162,"other vegetables,dessert,white bread,dog food,flower soil/fertilizer"
6694,"frankfurter,pip fruit,other vegetables,soda,bottled beer"
4916,"other vegetables,rolls/buns,hair spray"
401,"other vegetables,red/blush wine"
5084,bottled beer
4352,bottled beer
7573,other vegetables
6126,"cat food,canned beer,specialty chocolate,hygiene articles,napkins,shopping bags"
5005,"tropical fruit,rolls/buns,misc. beverages"
1777,"rolls/buns,newspapers"
9519,"frankfurter,ham,tropical fruit,pip fruit,other vegetables,frozen vegetables,domestic eggs,zwieback,margarine,soda"
7995,"butter milk,specialty bar,napkins"
1603,"chicken,citrus fruit,onions,bottled water"
92,"citrus fruit,butter milk,yogurt,cream cheese "
5844,rolls/buns
5743,"hamburger meat,shopping bags"
3450,"pork,other vegetables,butter milk,yogurt,pasta,soda,waffles,photo/film"
3222,"root vegetables,whole milk,yogurt,whipped/sour cream,rolls/buns,baking powder,liqueur"
4279,"root vegetables,other vegetables,whole milk,butter milk,processed cheese,margarine"
6545,beverages
8765,whole milk
2681,"pork,root vegetables,onions,other vegetables,margarine,sugar,spices"
8502,"pip fruit,ice cream,bottled water,soda,fruit/vegetable juice,bottled beer"
6855,"whole milk,curd,dessert,roll products ,tea,cocoa drinks,bottled beer,canned beer,cooking chocolate,cling film/bags"
9510,"whole milk,tidbits,rolls/buns,bottled beer,napkins"
5003,"pork,tropical fruit,yogurt,frozen vegetables,rolls/buns,margarine,spices"
853,"meat,root vegetables,whipped/sour cream,beverages,cream cheese ,waffles,dishes"
7620,"citrus fruit,frozen meals,canned beer,red/blush wine"
3502,"beef,citrus fruit,tropical fruit,root vegetables,other vegetables,pickled vegetables"
4967,"liver loaf,root vegetables,other vegetables,processed cheese,pastry,sugar,detergent"
8670,hamburger meat
6311,"beef,other vegetables,whole milk,yogurt"
9204,"roll products ,newspapers"
6413,"bottled beer,canned beer"
2943,"frankfurter,pork,whole milk,pastry,soda"
9186,"tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,dessert,yogurt,UHT-milk,baking powder,canned vegetables,waffles"
7528,"sausage,finished products,semi-finished bread,soda"
4835,"pork,root vegetables,brown bread,pastry"
2900,pork
3102,"frankfurter,soda,shopping bags"
2937,"frankfurter,pork,tropical fruit,whole milk,whipped/sour cream,frozen vegetables,frozen fish,margarine,newspapers"
7634,"citrus fruit,yogurt,soda"
990,"citrus fruit,other vegetables,whole milk,curd,yogurt,whipped/sour cream,cream cheese ,pastry,vinegar,oil,coffee,long life bakery product,detergent,cleaner,napkins,newspapers"
6960,"chicken,curd"
1491,"citrus fruit,coffee"
6820,"frankfurter,hamburger meat,pip fruit,other vegetables,butter milk,yogurt,sliced cheese,coffee,specialty bar"
3042,"frankfurter,pip fruit,nuts/prunes,onions,specialty cheese,brown bread,soda,fruit/vegetable juice,salty snack,chocolate,male cosmetics,shopping bags"
316,"tropical fruit,soda,salty snack"
1223,"chicken,bottled beer,red/blush wine,newspapers"
2238,dessert
3066,"chicken,pork,other vegetables,whole milk,butter,curd,margarine,pickled vegetables,waffles,specialty chocolate,hygiene articles"
3995,"tropical fruit,rolls/buns,seasonal products,bathroom cleaner,newspapers,shopping bags"
7357,"detergent,hygiene articles,napkins"
4450,"root vegetables,other vegetables,whole milk,sliced cheese,rolls/buns,cat food,shopping bags"
2953,"frankfurter,pork,pip fruit,root vegetables,other vegetables,whole milk,butter milk,yogurt,cream cheese ,rolls/buns,brown bread,soda"
3196,"frankfurter,chicken,hamburger meat,pip fruit,other vegetables,whole milk,butter,curd,whipped/sour cream,salad dressing,frozen dessert,frozen potato products,pastry,rice"
6006,"tropical fruit,whole milk,processed cheese,brown bread,flour,sugar,sauces,pet care"
1609,"rolls/buns,margarine"
5845,"white bread,brown bread"
2133,"citrus fruit,whole milk,whipped/sour cream,rolls/buns,pastry"
2628,"onions,other vegetables,specialty cheese"
283,"citrus fruit,tropical fruit"
4765,"soda,bottled beer,liquor,red/blush wine,napkins"
7933,"liquor,salty snack,chocolate,specialty chocolate,specialty bar,seasonal products,shopping bags"
8702,specialty chocolate
5117,"zwieback,bottled beer,hygiene articles"
8374,"pork,tropical fruit,pip fruit,bottled water,bottled beer"
9053,"pet care,bottled water,misc. beverages,shopping bags"
4193,"pastry,flour,sugar,baking powder,coffee,canned beer,shopping bags"
7366,"sausage,other vegetables,yogurt,pickled vegetables,bottled water,liquor,shopping bags"
7918,chicken
8288,"whole milk,pastry"
661,"ham,other vegetables,butter,whipped/sour cream,sugar,soda"
9392,"tropical fruit,root vegetables,rolls/buns"
5113,"pip fruit,whipped/sour cream,hard cheese,bottled water,fruit/vegetable juice"
4856,bottled water
6735,"soda,long life bakery product,shopping bags"
126,sparkling wine
2051,"sausage,citrus fruit,other vegetables,dessert,yogurt,whipped/sour cream,hard cheese,curd cheese,white bread,semi-finished bread,cat food,bottled water,seasonal products,softener,flower soil/fertilizer,flower (seeds)"
3521,domestic eggs
3689,"frankfurter,rolls/buns"
6672,"frankfurter,citrus fruit,tropical fruit,whole milk,white bread,chewing gum"
4673,"whole milk,rolls/buns,brown bread,bottled water,bottled beer"
1933,"ham,whole milk,spread cheese,rolls/buns,waffles,newspapers"
3854,"other vegetables,whipped/sour cream,cream cheese ,rolls/buns,coffee"
6080,ice cream
9316,root vegetables
6940,tropical fruit
8997,"ham,whole milk,white bread"
8103,"other vegetables,roll products "
3852,"bottled beer,napkins"
2673,other vegetables
167,"whole milk,pastry,long life bakery product"
6001,canned beer
3879,rolls/buns
1322,"frankfurter,berries,other vegetables,whole milk,soft cheese,domestic eggs,rolls/buns,brown bread,pastry,shopping bags"
5756,"whole milk,pet care"
7728,"sausage,chicken,grapes,whole milk,cream cheese ,ice cream,domestic eggs,pickled vegetables,soda,chocolate,shopping bags"
2263,"hamburger meat,whole milk,whipped/sour cream"
6665,"ham,chicken,other vegetables,processed cheese,white bread,detergent"
8668,"sausage,root vegetables,other vegetables,sliced cheese,hard cheese,semi-finished bread,oil,baking powder,canned vegetables,pet care,chocolate,napkins,newspapers"
3459,"other vegetables,newspapers"
7161,"whole milk,oil,candles"
6226,"dessert,pastry,canned beer"
5462,frozen meals
9600,whole milk
274,"citrus fruit,pip fruit,root vegetables,other vegetables,whole milk,cream cheese ,domestic eggs,brown bread,margarine,baking powder,waffles"
9172,"frankfurter,meat,beef,citrus fruit,berries,root vegetables,packaged fruit/vegetables,whole milk,whipped/sour cream,frozen vegetables,rolls/buns,canned fruit,house keeping products,flower (seeds),shopping bags"
1928,"onions,bottled water,soda,canned beer,chewing gum,male cosmetics,napkins,cling film/bags"
1122,"citrus fruit,other vegetables,butter,soda,bottled beer,canned beer,waffles,chocolate,seasonal products"
9652,"ham,other vegetables"
7567,"other vegetables,whole milk,chocolate"
5155,"tropical fruit,yogurt,salt,specialty vegetables,bottled beer"
7240,"citrus fruit,pickled vegetables,meat spreads,specialty chocolate"
7818,"rolls/buns,soda"
8832,bottled beer
5882,fruit/vegetable juice
3092,whipped/sour cream
1632,"yogurt,UHT-milk,domestic eggs,rolls/buns"
275,"hamburger meat,other vegetables,whole milk,curd,yogurt,rolls/buns,pastry,semi-finished bread,margarine,bottled water,fruit/vegetable juice"
4867,"sausage,meat,pip fruit,other vegetables,salty snack,napkins"
4921,"ham,root vegetables,whipped/sour cream,ketchup"
6771,"whole milk,rolls/buns,brown bread,margarine"
7402,"frankfurter,onions,packaged fruit/vegetables,cream cheese ,brown bread,canned fish,shopping bags"
6643,"whole milk,dessert,ice cream,misc. beverages,canned beer,cake bar"
7305,"sausage,pork,beef,tropical fruit,grapes,other vegetables,whole milk,frozen dessert,domestic eggs,soda,chocolate"
3956,"sausage,frozen vegetables,frozen meals,pickled vegetables,coffee"
9068,"berries,root vegetables,whipped/sour cream,soda"
4978,"frankfurter,whole milk,rolls/buns,newspapers"
1416,yogurt
4365,"rolls/buns,white bread,coffee"
4392,"beef,citrus fruit,tropical fruit,whole milk,butter milk,frozen vegetables,rolls/buns,brown bread,pickled vegetables"
7919,"sausage,hamburger meat,root vegetables,whole milk,domestic eggs,white bread,semi-finished bread,honey"
3126,decalcifier
1359,"zwieback,oil,mustard,chocolate"
8054,"hamburger meat,other vegetables,napkins"
6298,"other vegetables,curd,yogurt,shopping bags"
1531,"condensed milk,coffee,napkins"
5047,"whole milk,sugar,bottled water,bottled beer"
6776,"tropical fruit,yogurt,white bread,soda,fruit/vegetable juice,candy,napkins"
9638,whole milk
